 Complex refractive index= 1.300E+00 2.000E-03
 radius= 1.1086E-01 lambda= 2.1414E+05 x= 3.2528E-06

Qext=  1.4907E-08 Qsca=  1.0437E-23 Qabs=  1.4907E-08 <cos>= -0.0000E+00
                 Qbk =  1.2460E-24
  theta       S11           POL           S33           S34
  30.45   3.60645E-35   1.47413E-01   3.56705E-35   0.00000E+00
  30.54   3.60361E-35   1.48319E-01   3.56376E-35   0.00000E+00
  30.63   3.60077E-35   1.49228E-01   3.56045E-35   0.00000E+00
  30.72   3.59792E-35   1.50141E-01   3.55713E-35   0.00000E+00
  30.81   3.59506E-35   1.51056E-01   3.55381E-35   0.00000E+00
  30.90   3.59220E-35   1.51974E-01   3.55048E-35   0.00000E+00
  30.99   3.58934E-35   1.52895E-01   3.54713E-35   0.00000E+00
  31.08   3.58647E-35   1.53819E-01   3.54378E-35   0.00000E+00
  31.17   3.58359E-35   1.54747E-01   3.54043E-35   0.00000E+00
  31.26   3.58071E-35   1.55677E-01   3.53706E-35   0.00000E+00
  31.35   3.57783E-35   1.56610E-01   3.53368E-35   0.00000E+00
  31.44   3.57494E-35   1.57547E-01   3.53030E-35   0.00000E+00
  31.53   3.57205E-35   1.58486E-01   3.52690E-35   0.00000E+00
  31.62   3.56915E-35   1.59428E-01   3.52350E-35   0.00000E+00
  31.71   3.56625E-35   1.60374E-01   3.52009E-35   0.00000E+00
  31.80   3.56334E-35   1.61322E-01   3.51667E-35   0.00000E+00
  31.89   3.56043E-35   1.62274E-01   3.51324E-35   0.00000E+00
  31.98   3.55751E-35   1.63228E-01   3.50980E-35   0.00000E+00
  32.07   3.55459E-35   1.64186E-01   3.50635E-35   0.00000E+00
  32.16   3.55167E-35   1.65146E-01   3.50290E-35   0.00000E+00
